Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
0,Normal,10,9/28/2022 10:55,,FALSE,fd6c8ed2-63ab-4448-9ff3-847962dbdc3c,FingerFollowConfig,,,,,,,
2,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382658,0.117650405,,,0,
2,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.028608415,0.711373866,0.212053269,,,0,
86,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382658,0.117650345,,,1,0
86,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.027807219,0.711686194,0.21138525,,,1,0
174,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382717,0.11765039,,,2,1
174,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.028271338,0.712439597,0.212066785,,,2,1
245,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382658,0.11765033,,,3,2
245,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.027600802,0.71241945,0.211708307,,,3,2
329,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382717,0.117650375,,,4,3
329,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.0279212,0.714268267,0.211585879,,,4,3
413,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382717,0.11765036,,,5,4
413,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.028398963,0.715344846,0.211713836,,,5,4
497,,,9/28/2022 10:55,FingerFollowData,,,LeftControllerPosition,-0.827332616,0.792382717,0.117650397,,,6,5
497,,,9/28/2022 10:55,FingerFollowData,,,RightControllerPosition,0.028214719,0.718029201,0.210271284,,,6,5
