Value.BPM,Value.ElapsedTime,Value.Mode,Value.NoteType,Value.NumberOfNotes,Value.NumberOfNotesPerRepetitions,Value.Repetitions,Value.Time,Value.ToolEnded,Value.TrialID,Value.Type
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:22:17 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,1963,,hit,,,,2022-09-28 12:22:19 PM,,,RhythmData
,2519,,hit,,,,2022-09-28 12:22:20 PM,,,RhythmData
,3145,,hit,,,,2022-09-28 12:22:21 PM,,,RhythmData
,4037,,missed,,,,2022-09-28 12:22:21 PM,,,RhythmData
,4649,,missed,,,,2022-09-28 12:22:22 PM,,,RhythmData
,5276,,missed,,,,2022-09-28 12:22:23 PM,,,RhythmData
,5888,,missed,,,,2022-09-28 12:22:23 PM,,,RhythmData
,6334,,hit,,,,2022-09-28 12:22:24 PM,,,RhythmData
,6933,,hit,,,,2022-09-28 12:22:24 PM,,,RhythmData
,7545,,hit,,,,2022-09-28 12:22:25 PM,,,RhythmData
,8186,,hit,,,,2022-09-28 12:22:26 PM,,,RhythmData
,8882,,hit,,,,2022-09-28 12:22:26 PM,,,RhythmData
,9550,,missed,,,,2022-09-28 12:22:27 PM,,,RhythmData
,9578,,spam,,,,2022-09-28 12:22:27 PM,,,RhythmData
,10176,,missed,,,,2022-09-28 12:22:28 PM,,,RhythmData
,10455,,spam,,,,2022-09-28 12:22:28 PM,,,RhythmData
,10789,,missed,,,,2022-09-28 12:22:28 PM,,,RhythmData
100,10789,InvisibleConstant,,15,3,4,2022-09-28 12:22:28 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
100,16233,InvisibleConstant,,15,3,4,2022-09-28 12:22:34 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:22:47 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,1865,,spam,,,,2022-09-28 12:22:49 PM,,,RhythmData
,2213,,missed,,,,2022-09-28 12:22:49 PM,,,RhythmData
,2422,,spam,,,,2022-09-28 12:22:49 PM,,,RhythmData
,2826,,missed,,,,2022-09-28 12:22:50 PM,,,RhythmData
,2867,,spam,,,,2022-09-28 12:22:50 PM,,,RhythmData
,3369,,hit,,,,2022-09-28 12:22:50 PM,,,RhythmData
,4037,,missed,,,,2022-09-28 12:22:51 PM,,,RhythmData
,4343,,spam,,,,2022-09-28 12:22:51 PM,,,RhythmData
,4664,,missed,,,,2022-09-28 12:22:52 PM,,,RhythmData
,4817,,spam,,,,2022-09-28 12:22:52 PM,,,RhythmData
,5276,,missed,,,,2022-09-28 12:22:52 PM,,,RhythmData
,5387,,spam,,,,2022-09-28 12:22:52 PM,,,RhythmData
,5875,,missed,,,,2022-09-28 12:22:53 PM,,,RhythmData
,6209,,hit,,,,2022-09-28 12:22:53 PM,,,RhythmData
,6794,,spam,,,,2022-09-28 12:22:54 PM,,,RhythmData
,7114,,missed,,,,2022-09-28 12:22:54 PM,,,RhythmData
,7350,,spam,,,,2022-09-28 12:22:54 PM,,,RhythmData
,7726,,missed,,,,2022-09-28 12:22:55 PM,,,RhythmData
,7810,,spam,,,,2022-09-28 12:22:55 PM,,,RhythmData
,8325,,missed,,,,2022-09-28 12:22:55 PM,,,RhythmData
,8520,,spam,,,,2022-09-28 12:22:55 PM,,,RhythmData
,8937,,missed,,,,2022-09-28 12:22:56 PM,,,RhythmData
,9091,,spam,,,,2022-09-28 12:22:56 PM,,,RhythmData
,9564,,missed,,,,2022-09-28 12:22:57 PM,,,RhythmData
,9717,,spam,,,,2022-09-28 12:22:57 PM,,,RhythmData
,10177,,missed,,,,2022-09-28 12:22:57 PM,,,RhythmData
,10789,,missed,,,,2022-09-28 12:22:58 PM,,,RhythmData
100,10789,InvisibleConstant,,15,3,4,2022-09-28 12:22:58 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
100,14757,InvisibleConstant,,15,3,4,2022-09-28 12:23:02 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:23:14 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,2102,,hit,,,,2022-09-28 12:23:17 PM,,,RhythmData
,2631,,hit,,,,2022-09-28 12:23:17 PM,,,RhythmData
,3202,,hit,,,,2022-09-28 12:23:18 PM,,,RhythmData
,3898,,hit,,,,2022-09-28 12:23:18 PM,,,RhythmData
,4552,,hit,,,,2022-09-28 12:23:19 PM,,,RhythmData
,5193,,hit,,,,2022-09-28 12:23:20 PM,,,RhythmData
,5861,,hit,,,,2022-09-28 12:23:20 PM,,,RhythmData
,6473,,hit,,,,2022-09-28 12:23:21 PM,,,RhythmData
,7086,,hit,,,,2022-09-28 12:23:22 PM,,,RhythmData
,7726,,missed,,,,2022-09-28 12:23:22 PM,,,RhythmData
,7782,,spam,,,,2022-09-28 12:23:22 PM,,,RhythmData
,8339,,missed,,,,2022-09-28 12:23:23 PM,,,RhythmData
,8367,,spam,,,,2022-09-28 12:23:23 PM,,,RhythmData
,8840,,hit,,,,2022-09-28 12:23:23 PM,,,RhythmData
,9383,,hit,,,,2022-09-28 12:23:24 PM,,,RhythmData
,10037,,hit,,,,2022-09-28 12:23:25 PM,,,RhythmData
100,10664,InvisibleConstant,,15,3,4,2022-09-28 12:23:25 PM,true,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,10664,,hit,,,,2022-09-28 12:23:25 PM,,,RhythmData
100,0,InvisibleConstant,,15,3,4,2022-09-28 12:23:36 PM,false,d39818f3-fae5-4345-b128-d72d47e8efe0,RhythmConfig
,1964,,hit,,,,2022-09-28 12:23:38 PM,,,RhythmData
,2590,,hit,,,,2022-09-28 12:23:39 PM,,,RhythmData
,3203,,hit,,,,2022-09-28 12:23:39 PM,,,RhythmData
,3899,,hit,,,,2022-09-28 12:23:40 PM,,,RhythmData
,4512,,hit,,,,2022-09-28 12:23:41 PM,,,RhythmData
,5194,,hit,,,,2022-09-28 12:23:41 PM,,,RhythmData
,5834,,hit,,,,2022-09-28 12:23:42 PM,,,RhythmData
,6433,,hit,,,,2022-09-28 12:23:42 PM,,,RhythmData
,7101,,hit,,,,2022-09-28 12:23:43 PM,,,RhythmData
,7714,,missed,,,,2022-09-28 12:23:44 PM,,,RhythmData
,7714,,spam,,,,2022-09-28 12:23:44 PM,,,RhythmData
,8299,,hit,,,,2022-09-28 12:23:44 PM,,,RhythmData
,8855,,hit,,,,2022-09-28 12:23:45 PM,,,RhythmData
,9510,,hit,,,,2022-09-28 12:23:46 PM,,,RhythmData
