Value.ElapsedTime,Value.Scenario,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-11 11:26:05 AM,,,,64fd3bd2-250c-499a-95f8-bc9d28304b8f,ApplicationStart,,,
0,,2022-10-11 11:41:40 AM,false,,false,64fd3bd2-250c-499a-95f8-bc9d28304b8f,PegboardConfig,,,
0,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
0,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.0019102637888863683,-0.48695841431617737,0.3219761848449707
70,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
70,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.002343895612284541,-0.48561280965805054,0.3218376338481903
159,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
159,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.0010558241046965122,-0.4840717017650604,0.3200296461582184
247,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
247,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.00023444519320037216,-0.483879417181015,0.3190324008464813
317,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
317,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.00014300506154540926,-0.48149505257606506,0.3180263340473175
402,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
402,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,-0.00010192402260145172,-0.4739822745323181,0.31229981780052185
485,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
485,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,-0.005207763519138098,-0.4598172605037689,0.29410699009895325
569,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
569,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,-0.008106781169772148,-0.44146043062210083,0.26799941062927246
652,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
652,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.0011663089971989393,-0.4218936264514923,0.2520129084587097
736,,2022-10-11 11:41:40 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
736,,2022-10-11 11:41:40 AM,,PegboardData,,,RightControllerPosition,0.014414890669286251,-0.410871684551239,0.24082611501216888
819,,2022-10-11 11:41:41 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
