Value.ElapsedTime,Value.PourHeight,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Score,Value.TimeTask
,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-13 10:38:16 AM,,,bf63a913-9b08-4497-a7ca-e68dfa0157b0,ApplicationStart,,,,,
0,1.340000033378601,,2022-10-13 10:49:03 AM,,false,bf63a913-9b08-4497-a7ca-e68dfa0157b0,EverydayTaskConfig,,,,,
0,,,2022-10-13 10:49:03 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
0,,,2022-10-13 10:49:03 AM,EverydayTaskData,,,RightControllerPosition,0.018094977363944054,-0.541150689125061,0.32515883445739746,,
69,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
69,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.019185470417141914,-0.5406540036201477,0.32599496841430664,,
158,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
158,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.0210993904620409,-0.5410413146018982,0.3262559771537781,,
243,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
243,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.025009728968143463,-0.537697970867157,0.3272779583930969,,
327,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
327,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.031226424500346184,-0.5316509008407593,0.32846471667289734,,
411,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
411,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.03421968221664429,-0.509382963180542,0.32496321201324463,,
494,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
494,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.024212101474404335,-0.44963136315345764,0.29821252822875977,,
578,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
578,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.030376896262168884,-0.41509172320365906,0.2974964380264282,,
646,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
646,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.05400165170431137,-0.3948909044265747,0.2973054349422455,,
730,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
730,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.07092504948377609,-0.361333429813385,0.2836386561393738,,
813,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
813,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.0723438635468483,-0.3231717050075531,0.2703239321708679,,
897,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
897,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.06032775714993477,-0.29753661155700684,0.26075637340545654,,
980,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
980,,,2022-10-13 10:49:04 AM,EverydayTaskData,,,RightControllerPosition,0.05555519089102745,-0.2768721282482147,0.2619929909706116,,
1066,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
1066,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,RightControllerPosition,0.053158458322286606,-0.2593564987182617,0.26611652970314026,,
1148,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
1148,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,RightControllerPosition,0.056978508830070496,-0.24672703444957733,0.26934152841567993,,
1231,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
1231,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,RightControllerPosition,0.06420561671257019,-0.2420080304145813,0.26935815811157227,,
1317,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
1317,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,RightControllerPosition,0.07236818969249725,-0.24477145075798035,0.2648144066333771,,
1400,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,LeftControllerPosition,1.1694614887237549,-0.1343858540058136,-1.3085963726043701,,
1400,,,2022-10-13 10:49:05 AM,EverydayTaskData,,,RightControllerPosition,0.09700237214565277,-0.25289762020111084,0.250160813331604,,
