Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-19 9:30:16 AM,,,546febda-e424-45ca-a38a-14c0b338adcb,ApplicationStart,,,
0,Normal,10,,2022-10-19 9:37:05 AM,,false,546febda-e424-45ca-a38a-14c0b338adcb,FingerFollowConfig,,,
3,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,RightControllerPosition,0.09920427948236465,0.6693519949913025,0.2559719979763031
86,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
86,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,RightControllerPosition,0.09906794130802155,0.6699127554893494,0.2564878463745117
160,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
160,,,,2022-10-19 9:37:05 AM,FingerFollowData,,,RightControllerPosition,0.09904295951128006,0.6703107357025146,0.2567611336708069
245,,,,2022-10-19 9:37:06 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
245,,,,2022-10-19 9:37:06 AM,FingerFollowData,,,RightControllerPosition,0.09891264140605927,0.6707451343536377,0.2568762004375458
329,,,,2022-10-19 9:37:06 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
329,,,,2022-10-19 9:37:06 AM,FingerFollowData,,,RightControllerPosition,0.09891518205404282,0.6711219549179077,0.25699785351753235
