Value.ElapsedTime,Value.PourHeight,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.TimeTask,Value.Score
,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-20 10:38:35 AM,,,7347f15c-885b-4ca5-82f2-3d328ca9d8d2,ApplicationStart,,,,,
0,1.340000033378601,,2022-10-20 10:54:31 AM,,false,7347f15c-885b-4ca5-82f2-3d328ca9d8d2,EverydayTaskConfig,,,,,
0,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,LeftControllerPosition,-0.9473183155059814,-0.5099908709526062,-0.27555733919143677,,
0,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,RightControllerPosition,-0.02209029719233513,-0.5833621621131897,0.32293054461479187,,
83,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,LeftControllerPosition,-0.9473183155059814,-0.5099908709526062,-0.27555733919143677,,
83,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,RightControllerPosition,-0.018614716827869415,-0.583418607711792,0.32658517360687256,,
172,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,LeftControllerPosition,-0.9473183155059814,-0.5099908709526062,-0.27555733919143677,,
172,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,RightControllerPosition,-0.01874973252415657,-0.5833221673965454,0.3262561857700348,,
241,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,LeftControllerPosition,-0.9473183155059814,-0.5099908709526062,-0.27555733919143677,,
241,,,2022-10-20 10:54:31 AM,EverydayTaskData,,,RightControllerPosition,-0.01778385229408741,-0.583320677280426,0.326885849237442,,
