Value.ElapsedTime,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",2022-10-20 10:38:35 AM,,,7347f15c-885b-4ca5-82f2-3d328ca9d8d2,ApplicationStart,,,,,
0,10,,2022-10-20 10:52:30 AM,,false,7347f15c-885b-4ca5-82f2-3d328ca9d8d2,FingerNoseConfig,,,,,
0,,,2022-10-20 10:52:30 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
0,,,2022-10-20 10:52:30 AM,FingerNoseData,,,RightControllerPosition,-0.05353511869907379,0.7790088057518005,0.3805321753025055,,
82,,,2022-10-20 10:52:30 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
82,,,2022-10-20 10:52:30 AM,FingerNoseData,,,RightControllerPosition,-0.04805747792124748,0.7814411520957947,0.38020139932632446,,
165,,,2022-10-20 10:52:30 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
165,,,2022-10-20 10:52:30 AM,FingerNoseData,,,RightControllerPosition,-0.04333283379673958,0.7829590439796448,0.3769476115703583,,
249,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
249,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,-0.0349070280790329,0.7865517139434814,0.37348803877830505,,
333,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
333,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,-0.024292713031172752,0.7905731797218323,0.3705616593360901,,
416,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
416,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,-0.012695764191448689,0.7960976362228394,0.3705287575721741,,
500,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
500,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.0005493347998708487,0.8080920577049255,0.3712577223777771,,
583,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
583,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.015477187000215054,0.825526773929596,0.3771333396434784,,
667,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
667,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.02673167921602726,0.8449713587760925,0.39004743099212646,,
750,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
750,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.0377381257712841,0.8763346076011658,0.40589234232902527,,
834,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
834,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.04519350081682205,0.9118801951408386,0.41819679737091064,,
917,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
917,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.04964033141732216,0.9481954574584961,0.42652955651283264,,
1001,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1001,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.04940873384475708,0.9824909567832947,0.4292733669281006,,
1085,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1085,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.04513503611087799,1.0003507137298584,0.4334802031517029,,
1168,,,2022-10-20 10:52:31 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1168,,,2022-10-20 10:52:31 AM,FingerNoseData,,,RightControllerPosition,0.03486976772546768,0.9983035922050476,0.4360196590423584,,
1252,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1252,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.02645437978208065,0.9875847101211548,0.43293875455856323,,
1322,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1322,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.02185421623289585,0.9773949384689331,0.43082311749458313,,
1405,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1405,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.01808973215520382,0.9703355431556702,0.4288443624973297,,
1489,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1489,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.018749624490737915,0.9743321537971497,0.42719998955726624,,
1573,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1573,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.016788624227046967,0.9828730821609497,0.4272654354572296,,
1656,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1656,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.022880353033542633,1.003263235092163,0.4225962460041046,,
1739,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1739,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,0.026376968249678612,1.0133394002914429,0.42322033643722534,,
1823,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1823,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,-0.0005677403532899916,1.0135422945022583,0.4199390411376953,,
1907,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1907,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,-0.02176397293806076,1.0151557922363281,0.41347768902778625,,
1990,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1990,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,-0.0350353941321373,1.0146899223327637,0.41701623797416687,,
2074,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2074,,,2022-10-20 10:52:32 AM,FingerNoseData,,,RightControllerPosition,-0.036560192704200745,1.00963294506073,0.42421332001686096,,
2157,,,2022-10-20 10:52:32 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
