_id,Value.Time,Value.ElapsedTime,Value.Type,Value.PatientID,Value.TrialID,Value.Mode,Value.ToolEnded,Value.Repetitions,Value.ToolData,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
6504649188f911d6b5fc6881,9/15/2023 10:05,0,FingerFollowConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,Normal,FALSE,10,,,,,,,,
6504649188f911d6b5fc6883,9/15/2023 10:05,6,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,0,
6504649188f911d6b5fc6885,9/15/2023 10:05,6,RightControllerPosition,,,,,,FingerFollowData,0.011915685,0.638544381,0.262409747,,,0,
6504649188f911d6b5fc6887,9/15/2023 10:05,97,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,1,0
6504649188f911d6b5fc6889,9/15/2023 10:05,97,RightControllerPosition,,,,,,FingerFollowData,0.015694967,0.637843013,0.265216291,,,1,0
6504649188f911d6b5fc688b,9/15/2023 10:05,177,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,2,1
6504649188f911d6b5fc688d,9/15/2023 10:05,177,RightControllerPosition,,,,,,FingerFollowData,0.015478091,0.636728227,0.265422106,,,2,1
6504649188f911d6b5fc688f,9/15/2023 10:05,259,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,3,2
6504649188f911d6b5fc6891,9/15/2023 10:05,259,RightControllerPosition,,,,,,FingerFollowData,0.01535081,0.638310313,0.264857203,,,3,2
6504649188f911d6b5fc6893,9/15/2023 10:05,342,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,4,3
6504649188f911d6b5fc6895,9/15/2023 10:05,342,RightControllerPosition,,,,,,FingerFollowData,0.015266957,0.63800931,0.265146315,,,4,3
6504649188f911d6b5fc6897,9/15/2023 10:05,425,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,5,4
6504649188f911d6b5fc6899,9/15/2023 10:05,425,RightControllerPosition,,,,,,FingerFollowData,0.014336726,0.637489915,0.264473349,,,5,4
6504649188f911d6b5fc689b,9/15/2023 10:05,509,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,6,5
6504649188f911d6b5fc689d,9/15/2023 10:05,509,RightControllerPosition,,,,,,FingerFollowData,0.013759851,0.637514055,0.264146209,,,6,5
6504649188f911d6b5fc689f,9/15/2023 10:05,592,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,7,6
6504649188f911d6b5fc68a1,9/15/2023 10:05,592,RightControllerPosition,,,,,,FingerFollowData,0.013232541,0.637332141,0.263652772,,,7,6
6504649188f911d6b5fc68a3,9/15/2023 10:05,676,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,8,7
6504649188f911d6b5fc68a5,9/15/2023 10:05,676,RightControllerPosition,,,,,,FingerFollowData,0.011749242,0.636070907,0.262093604,,,8,7
6504649188f911d6b5fc68a7,9/15/2023 10:05,759,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,9,8
6504649188f911d6b5fc68a9,9/15/2023 10:05,759,RightControllerPosition,,,,,,FingerFollowData,0.010947734,0.635273159,0.262238711,,,9,8
6504649188f911d6b5fc68ab,9/15/2023 10:05,843,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,10,9
6504649188f911d6b5fc68ad,9/15/2023 10:05,843,RightControllerPosition,,,,,,FingerFollowData,0.011536562,0.636800408,0.260730475,,,10,9
6504649288f911d6b5fc68af,9/15/2023 10:05,914,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649288f911d6b5fc68b1,9/15/2023 10:05,914,RightControllerPosition,,,,,,FingerFollowData,0.011786894,0.637455881,0.258956045,,,,
6504649288f911d6b5fc68b3,9/15/2023 10:05,997,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649288f911d6b5fc68b5,9/15/2023 10:05,997,RightControllerPosition,,,,,,FingerFollowData,0.012965392,0.637242317,0.256873846,,,,
